-10, -10
-12, -13
-11, -14
-9, 9
-14, -12
-13, -13
-12, -8
-16, -12
-11, -14
-8, -16
-13, -10
-12, -11
-14, -12
-15, -12
-15, -24
-14, -8
-10, -10
-9, -13
-10, -14
-11, -15
-12, -14
-11, -10
-8, -9
-16, -2
-16, -22
-9, -12
-10, -11
-14, -19
-14, -14
-10, -15
-18, -18
-13, -20
-15, -5
-8, -17
-12, -17
-16, -13
-7, -12
-10, -5
-15, -14
-9, -14
10, 10
13, 12
23, 10
12, 9
14, 8
15, 13
9, 14
8, 15
10, 15
11, 11
12, 12
13, 14
3, 13
15, 16
16, 17
17, 9
12, 10
14, 12
12, 14
14, 14
12, 15
11, 12
13, 13
10, 11
9, 9
9, 10
8, 12
12, 15
11, 16
10, 19
19, 10
14, 18
17, 15
20, 12
14, 9
16, 8
17, 12
18, 16
15, 11
19, 19
0, 0
1, 8
3, 5
5, -1
0, 2
0, 7
7, -4
3, 8
4, 1
2, 3
-1, 6
-5, 1
-8, 3
-2, -2
-4, -3
-5, 4
-2, -6
-3, -1
-1, 3
0, 6
-5, 1
-2, 3
-3, 8
0, -4
-7, -1
-3, -7
-3, -2
-1, 5
-1, 6
-2, -2
3, -3
-2, 11
-3, 4
-4, 5
3, 0
-2, 13
3, -7
7, 5
0, -10
-1, 11
